scenario,xml_file,regions_seen_in_input,hk_regions_skipped,regions_kept_excluding_HK,supplysectors_kept,technology_paths_kept,target_periods_seen,coefficients_modified,zero_coefficients_skipped,non_numeric_coefficients_skipped,sha256
conservative,detailed_industry_CHINA_v8_elect_intensity_conservative.xml,34,1,31,6,13,24576,5488,960,208,d1818525060a5247422ab0abb8d4bd63ee7629ff6c1c6c3b8fc9eb3edeb7bdbd
recommended,detailed_industry_CHINA_v8_elect_intensity_recommended.xml,34,1,31,6,13,24576,5488,960,208,60e48fd858d95b130b21d2f99e42c54946498bec305966086abe60ee36c88a29
aggressive,detailed_industry_CHINA_v8_elect_intensity_aggressive.xml,34,1,31,6,13,24576,5488,960,208,fc0e6a32dad162460ea4be25af2848556e865f958c1ebe630849a85d215440bc
