# File: HDDCDD_constdd_noGCM_HK.csv
# Title: Population-weighted HDDCDD historical data and projections for Hong Kong
# Units: Fahrenheit Degree Days
# Source: Refer to Xiujuan He Hong Kong base temperatures for heating and cooling degree days (HDD and CDD) are 14.95°C and 20.66°C (not 18.3°C as default). The climate data are from Hong Kong Observatory https://data.gov.hk/tc-data/dataset/hk-hko-rss-daily-temperature-info-hko and using no climate models (const dgree day with no GCM model). The projection is started from 20.
# Column types: cccnnc
# ----------
Scen,GCM,variable,year,degree.days,region
constdd,no_GCM,CDD,2044,2494.7809199377,HK
constdd,no_GCM,HDD,2045,78.9076331639911,HK
constdd,no_GCM,CDD,2045,2495.32146047825,HK
constdd,no_GCM,HDD,2046,78.5022277585857,HK
constdd,no_GCM,CDD,2046,2495.86200101879,HK
constdd,no_GCM,HDD,2047,78.0968223531803,HK
constdd,no_GCM,CDD,2047,2496.40254155933,HK
constdd,no_GCM,HDD,2048,77.6914169477749,HK
constdd,no_GCM,CDD,2048,2496.94308209987,HK
constdd,no_GCM,HDD,2049,77.2860115423694,HK
constdd,no_GCM,CDD,2049,2497.48362264041,HK
constdd,no_GCM,HDD,2050,76.880606136964,HK
constdd,no_GCM,CDD,2050,2498.02416318095,HK
constdd,no_GCM,HDD,2051,76.4752007315586,HK
constdd,no_GCM,CDD,2051,2498.56470372149,HK
constdd,no_GCM,HDD,2052,76.0697953261532,HK
constdd,no_GCM,CDD,2052,2499.10524426203,HK
constdd,no_GCM,HDD,2053,75.6643899207478,HK
constdd,no_GCM,CDD,2053,2499.64578480257,HK
constdd,no_GCM,HDD,2054,75.2589845153424,HK
constdd,no_GCM,CDD,2054,2500.18632534311,HK
constdd,no_GCM,HDD,2055,74.853579109937,HK
constdd,no_GCM,CDD,2055,2500.72686588365,HK
constdd,no_GCM,HDD,2056,74.4481737045316,HK
constdd,no_GCM,CDD,2056,2501.26740642419,HK
constdd,no_GCM,HDD,2057,74.0427682991262,HK
constdd,no_GCM,CDD,2057,2501.80794696473,HK
constdd,no_GCM,HDD,2058,73.6373628937208,HK
constdd,no_GCM,CDD,2058,2502.34848750527,HK
constdd,no_GCM,HDD,2059,73.2319574883154,HK
constdd,no_GCM,CDD,2059,2502.88902804581,HK
constdd,no_GCM,HDD,2060,72.82655208291,HK
constdd,no_GCM,CDD,2060,2503.42956858635,HK
constdd,no_GCM,HDD,2061,72.82655208291,HK
constdd,no_GCM,CDD,2061,2503.42956858635,HK
constdd,no_GCM,HDD,2062,72.82655208291,HK
constdd,no_GCM,CDD,2062,2503.42956858635,HK
constdd,no_GCM,HDD,2063,72.82655208291,HK
constdd,no_GCM,CDD,2063,2503.42956858635,HK
constdd,no_GCM,HDD,2064,72.82655208291,HK
constdd,no_GCM,CDD,2064,2503.42956858635,HK
constdd,no_GCM,HDD,2065,72.82655208291,HK
constdd,no_GCM,CDD,2065,2503.42956858635,HK
constdd,no_GCM,HDD,2066,72.82655208291,HK
constdd,no_GCM,CDD,2066,2503.42956858635,HK
constdd,no_GCM,HDD,2067,72.82655208291,HK
constdd,no_GCM,CDD,2067,2503.42956858635,HK
constdd,no_GCM,HDD,2068,72.82655208291,HK
constdd,no_GCM,CDD,2068,2503.42956858635,HK
constdd,no_GCM,HDD,2069,72.82655208291,HK
constdd,no_GCM,CDD,2069,2503.42956858635,HK
constdd,no_GCM,HDD,2070,72.82655208291,HK
constdd,no_GCM,CDD,2070,2503.42956858635,HK
constdd,no_GCM,HDD,2071,72.82655208291,HK
constdd,no_GCM,CDD,2071,2503.42956858635,HK
constdd,no_GCM,HDD,2072,72.82655208291,HK
constdd,no_GCM,CDD,2072,2503.42956858635,HK
constdd,no_GCM,HDD,2073,72.82655208291,HK
constdd,no_GCM,CDD,2073,2503.42956858635,HK
constdd,no_GCM,HDD,2074,72.82655208291,HK
constdd,no_GCM,CDD,2074,2503.42956858635,HK
constdd,no_GCM,HDD,2075,72.82655208291,HK
constdd,no_GCM,CDD,2075,2503.42956858635,HK
constdd,no_GCM,HDD,2076,72.82655208291,HK
constdd,no_GCM,CDD,2076,2503.42956858635,HK
constdd,no_GCM,HDD,2077,72.82655208291,HK
constdd,no_GCM,CDD,2077,2503.42956858635,HK
constdd,no_GCM,HDD,2078,72.82655208291,HK
constdd,no_GCM,CDD,2078,2503.42956858635,HK
constdd,no_GCM,HDD,2079,72.82655208291,HK
constdd,no_GCM,CDD,2079,2503.42956858635,HK
constdd,no_GCM,HDD,2080,72.82655208291,HK
constdd,no_GCM,CDD,2080,2503.42956858635,HK
constdd,no_GCM,HDD,2081,72.82655208291,HK
constdd,no_GCM,CDD,2081,2503.42956858635,HK
constdd,no_GCM,HDD,2082,72.82655208291,HK
constdd,no_GCM,CDD,2082,2503.42956858635,HK
constdd,no_GCM,HDD,2083,72.82655208291,HK
constdd,no_GCM,CDD,2083,2503.42956858635,HK
constdd,no_GCM,HDD,2084,72.82655208291,HK
constdd,no_GCM,CDD,2084,2503.42956858635,HK
